competition,date,home_team,away_team,venue
eliteserien_2026,2026-03-14,hamkam_m,viking_m,
eliteserien_2026,2026-03-14,molde_m,rosenborg_m,
eliteserien_2026,2026-03-15,kristiansund_m,brann_m,
eliteserien_2026,2026-03-15,aalesund_m,lillestrom_m,
eliteserien_2026,2026-03-15,kfum_oslo_m,start_m,
eliteserien_2026,2026-03-15,sarpsborg08_m,bodo_glimt_m,
eliteserien_2026,2026-03-15,valerenga_m,sandefjord_m,
eliteserien_2026,2026-03-15,tromso_m,fredrikstad_m,
toppserien_2026,2026-03-20,bodo_glimt_w,honefoss_w,
toppserien_2026,2026-03-20,molde_w,brann_w,
toppserien_2026,2026-03-21,lsk_kvinner_w,roa_w,
toppserien_2026,2026-03-21,rosenborg_w,haugesund_w,
toppserien_2026,2026-03-21,stabak_w,lyn_w,
toppserien_2026,2026-03-21,valerenga_w,aalesund_w,
